Run Event PX1 PY1 PZ1 E1 PX2 PY2 PZ2 E2
166033 963520437 -28.4295 9.15999 11.6423 32.0575 21.0544 -11.8844 139.163 141.247 
166033 963804605 -10.8408 -34.2903 202.352 205.523 9.33528 34.5404 57.8613 68.0303 
166033 962866814 -41.5961 3.62125 76.0856 86.7892 28.3342 14.3159 155.233 158.446 
166033 963417502 79.4461 18.4175 91.6035 122.646 -33.0305 -0.178449 -13.3305 35.6195 
166033 963520774 -33.6846 -7.7455 -23.135 41.5917 16.3139 -1.98647 20.0159 25.8983 
166033 963805926 40.315 -27.0908 0.313486 48.5727 -36.5063 28.4035 10.5249 47.4368 
166033 963812646 -55.8656 -82.5693 89.5152 133.984 12.9441 18.5067 16.476 27.9555 
166033 963338248 -4.87794 13.5915 11.6689 18.5658 -2.13609 6.12352 5.23427 8.33415 
166033 963557912 16.2663 -35.9657 1.30028 39.4945 -6.41015 12.3777 -57.8104 59.4671 
166033 964064724 14.3687 11.4459 30.6068 35.6965 -15.3769 -8.32975 -52.1245 54.98 
166033 963252866 1.69268 29.4853 10.7951 31.4449 23.8209 -7.4115 47.193 53.3812 
166033 963610682 -10.0056 -9.51053 -39.6452 41.9798 -13.1574 0.476469 -20.0267 23.9669 
166033 963667498 38.6942 14.2388 19.1854 45.4759 -34.1796 -13.9002 -17.5289 40.85 
166033 964104219 -17.8266 -7.46351 -16.8947 25.6695 15.049 3.10138 8.14132 17.3889 
166033 963191879 -31.842 103.301 347.48 363.905 13.2106 -10.3525 24.176 29.4308 
166033 964119243 -7.29845 22.118 56.1571 60.7955 4.13839 -21.8622 97.317 99.8283 
166033 963642440 21.9793 20.8977 110.629 114.711 -8.48774 -1.93523 -21.0495 22.7787 
166033 963188057 -3.56702 20.4971 32.3459 38.4592 -9.48837 10.4423 -55.8396 57.5945 
166033 963649201 25.5815 1.62444 10.527 27.7104 -5.58102 -4.28489 -14.8454 16.4285 
166033 963024290 -12.8401 16.2295 2.78935 20.8817 10.9518 0.815876 -11.4385 15.8571 
166033 963101083 -17.6225 56.7044 -3.80824 59.5017 -32.2851 -17.5339 -46.9035 59.5794 
166033 963666683 -17.6765 -7.36834 -36.0471 40.8185 -15.9093 7.69489 14.5653 22.9012 
166033 964544539 -46.0094 43.9788 -105.03 122.81 2.01095 -9.34626 -24.279 26.0934 
166033 964900774 16.4606 22.9221 94.6875 98.8033 -6.88777 -7.42409 15.2327 18.2919 
166033 964754932 12.65 21.5214 38.4266 45.8235 7.02129 -10.9123 -6.16441 14.3658 
166033 964230402 6.63352 123.999 145.971 191.644 8.97753 0.445866 12.8313 15.6664 
166033 964755156 -45.4354 -4.36372 -65.7922 80.0751 39.6863 -1.35842 -38.3717 55.2199 
166033 965148060 37.3489 7.29923 17.8863 42.0492 -36.4539 0.93862 -16.0181 39.829 
166033 965183540 -36.3289 18.8181 35.6381 54.2585 -9.9142 5.74141 8.90746 14.512 
166033 964302643 7.41119 22.8435 -100.896 103.714 -5.86512 -21.1391 17.1922 27.8717 
166033 964220260 -19.8486 16.3593 8.56281 27.1093 -13.0867 8.45495 13.5644 20.6577 
166033 964159960 7.69916 -20.1852 -28.1782 35.5068 -11.116 5.57355 -19.134 22.8197 
